epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
80,32161,1.14133,0.89418,2.04472,0.89452,0.85524,0.91762,0.6099,1.29487,0.87218,3.25098,0.0007393,0.0007393,0.0007393
81,32566.9,1.14811,0.90422,2.04326,0.87785,0.82775,0.89633,0.60191,1.25084,0.89447,2.99141,0.000736,0.000736,0.000736
82,32933.8,1.16619,0.92638,2.06344,0.89851,0.83408,0.91385,0.61631,1.30776,0.87044,3.11899,0.0007327,0.0007327,0.0007327
83,33294.1,1.15977,0.92617,2.04078,0.8869,0.84949,0.90031,0.61141,1.29809,0.89936,2.95985,0.0007294,0.0007294,0.0007294
84,33715.9,1.18376,0.95583,2.07396,0.89901,0.84935,0.91043,0.61521,1.32129,0.93461,2.94327,0.0007261,0.0007261,0.0007261
85,34077.3,1.15833,0.92512,2.04991,0.865,0.85138,0.89413,0.59722,1.30209,0.94831,2.99039,0.0007228,0.0007228,0.0007228
86,34494.4,1.1613,0.93878,2.06547,0.8763,0.86956,0.91614,0.607,1.28235,0.85741,3.06068,0.0007195,0.0007195,0.0007195
87,34846.8,1.14158,0.90793,2.07767,0.86121,0.86826,0.90712,0.61602,1.26621,0.91042,3.10022,0.0007162,0.0007162,0.0007162
88,35196.1,1.1717,0.93751,2.09669,0.89948,0.84001,0.91613,0.61682,1.27354,0.92008,2.97663,0.0007129,0.0007129,0.0007129
89,35551.8,1.124,0.88442,2.03123,0.86542,0.87173,0.91836,0.61531,1.28113,0.88714,3.01271,0.0007096,0.0007096,0.0007096
90,35898.9,1.12907,0.9096,2.0392,0.89117,0.88083,0.9234,0.61965,1.3476,0.92627,2.95788,0.0007063,0.0007063,0.0007063
91,36241.4,1.14289,0.90365,2.07554,0.91865,0.84526,0.91768,0.61391,1.25172,0.83218,3.10222,0.000703,0.000703,0.000703
